Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,# of Customers Affected Cleaned,Tags,Regions_raw,Region
Severe Weather - Thunderstorms,2014,6/30/2014,8:00 PM,7/2/2014,6:30 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"420,000","420,000","severe weather, thunderstorm",Illinois,Illinois
Severe Weather - Thunderstorms,2014,6/30/2014,11:20 PM,7/1/2014,5:00 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,"127,000","127,000","severe weather, thunderstorm",North Central Indiana,Indiana
Severe Weather - Thunderstorms,2014,6/30/2014,5:55 PM,7/1/2014,2:53 AM,We Energies,Southeast  Wisconsin,MRO,424,"120,000","120,000","severe weather, thunderstorm",Southeast  Wisconsin,Wisconsin
Fuel Supply Emergency - Coal,2014,6/27/2014,1:21 PM,Unknown,Unknown,We Energies,Wisconsin,MRO,Unknown,Unknown,,"fuel supply emergency, coal",Wisconsin,Wisconsin
Physical Attack - Vandalism,2014,6/24/2014,2:54 PM,6/24/2014,2:55 PM,Tennessee Valley Authority,"Nashville, Tennessee",SERC,Unknown,Unknown,,"vandalism, physical","Nashville, Tennessee",Tennessee
Physical Attack - Vandalism,2014,6/19/2014,8:47 AM,6/19/2014,8:48 AM,Tennessee Valley Authority,"Nashville, Tennessee",SERC,Unknown,Unknown,,"vandalism, physical","Nashville, Tennessee",Tennessee
Physical Attack - Vandalism,2014,6/18/2014,9:52 AM,6/18/2014,7:00 PM,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,Unknown,Unknown,,"vandalism, physical",Washington,Washington
Severe Weather - Thunderstorms,2014,6/18/2014,5:00 PM,6/20/2014,3:00 PM,Detroit Edison Co,Southeast Michigan,RFC,Unknown,"138,802","138,802","severe weather, thunderstorm",Southeast Michigan,Michigan
Severe Weather - Thunderstorms,2014,6/15/2014,12:00 AM,6/15/2014,1:00 AM,Xcel Energy,Central Minnesota,MRO,Unknown,"55,951","55,951","severe weather, thunderstorm",Central Minnesota,Minnesota
Suspected Physical Attack,2014,6/12/2014,9:10 AM,6/12/2014,9:11 AM,"Luminant Energy Company, LLC","Somervell County, Texas",ERCOT,Unknown,Unknown,,"vandalism, physical","Somervell County, Texas",Texas
Physical Attack - Vandalism,2014,6/11/2014,4:00 PM,6/11/2014,4:30 PM,South Mississippi El Pwr Assn,Southern Mississippi,SERC,,,,"vandalism, physical",Southern Mississippi,Mississippi
